"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 01 17:01:27 IST 2023","Wed Mar 01 17:01:33 IST 2023","6875","","Delete Article suite","","","","Delete the comment of the article and verify comment is deleted",""
"passed","Wed Mar 01 17:01:58 IST 2023","Wed Mar 01 17:02:00 IST 2023","1561","","Login Page suite","","","","No Feed verify message",""
"passed","Wed Mar 01 17:01:42 IST 2023","Wed Mar 01 17:01:49 IST 2023","7359","","Edit the article suite","","","","Create new article and edit the article and verify article is updated",""
"passed","Wed Mar 01 17:02:03 IST 2023","Wed Mar 01 17:02:08 IST 2023","4285","","Login Page suite","","","","Verify newly created article is visible on Global Feed",""
"passed","Wed Mar 01 17:01:55 IST 2023","Wed Mar 01 17:01:58 IST 2023","3062","","Login Page suite","","","","Invalid Login",""
"passed","Wed Mar 01 17:02:00 IST 2023","Wed Mar 01 17:02:03 IST 2023","3433","","Login Page suite","","","","Login Page successfully and create new article",""
"passed","Wed Mar 01 17:01:19 IST 2023","Wed Mar 01 17:01:27 IST 2023","7531","","Delete Article suite","","","","Login Page successfully and create new article and delete the article and verify article is not present",""
